Idx,color,root,knocks,texture,navel,touch,density,label
1,dark_green,curl_up,little_heavily,distinct,sinking,hard_smooth,0.697,1
2,black,curl_up,heavily,distinct,sinking,hard_smooth,0.774,1
3,black,curl_up,little_heavily,distinct,sinking,hard_smooth,0.634,1
4,dark_green,curl_up,heavily,distinct,sinking,hard_smooth,0.608,1
5,light_white,curl_up,little_heavily,distinct,sinking,hard_smooth,0.556,1
6,dark_green,little_curl_up,little_heavily,distinct,little_sinking,soft_stick,0.403,1
7,black,little_curl_up,little_heavily,little_blur,little_sinking,soft_stick,0.481,1
8,black,little_curl_up,little_heavily,distinct,little_sinking,hard_smooth,0.437,1
9,black,little_curl_up,heavily,little_blur,little_sinking,hard_smooth,0.666,0
10,dark_green,stiff,clear,distinct,even,soft_stick,0.243,0
11,light_white,stiff,clear,blur,even,hard_smooth,0.245,0
12,light_white,curl_up,little_heavily,blur,even,soft_stick,0.343,0
13,dark_green,little_curl_up,little_heavily,little_blur,sinking,hard_smooth,0.639,0
14,light_white,little_curl_up,heavily,little_blur,sinking,hard_smooth,0.657,0
15,black,little_curl_up,little_heavily,distinct,little_sinking,soft_stick,0.36,0
16,light_white,curl_up,little_heavily,blur,even,hard_smooth,0.593,0
17,dark_green,curl_up,heavily,little_blur,little_sinking,hard_smooth,0.719,0
